t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
0.0,0,0,-10,0,0,0,0,0,0,0,20
0.05,0,0,-10,0,0,0,0,0,0,0,20
0.1,0,0,-10,0,0,0,0,0,0,0,20
0.15000000000000002,0,0,-10,0,0,0,0,0,0,0,20
0.2,0,0,-10,0,0,0,0,0,0,0,20
0.25,0,0,-10,0,0,0,0,0,0,0,20
0.30000000000000004,0,0,-10,0,0,0,0,0,0,0,20
0.35000000000000003,0,0,-10,0,0,0,0,0,0,0,20
0.4,0,0,-10,0,0,0,0,0,0,0,20
0.45,0,0,-10,0,0,0,0,0,0,0,20
0.5,0,0,-10,0,0,0,0,0,0,0,20
0.55,0,0,-10,0,0,0,0,0,0,0,20
0.6000000000000001,0,0,-10,0,0,0,0,0,0,0,20
0.65,0,0,-10,0,0,0,0,0,0,0,20
0.7000000000000001,0,0,-10,0,0,0,0,0,0,0,20
0.75,0,0,-10,0,0,0,0,0,0,0,20
0.8,0,0,-10,0,0,0,0,0,0,0,20
0.8500000000000001,0,0,-10,0,0,0,0,0,0,0,20
0.9,0,0,-10,0,0,0,0,0,0,0,20
0.9500000000000001,0,0,-10,0,0,0,0,0,0,0,20
1.0,0,0,-10,0,0,0,0,0,0,0,20
1.05,0,0,-10,0,0,0,0,0,0,0,20
1.1,0,0,-10,0,0,0,0,0,0,0,20
1.1500000000000001,0,0,-10,0,0,0,0,0,0,0,20
1.2000000000000002,0,0,-10,0,0,0,0,0,0,0,20
1.25,0,0,-10,0,0,0,0,0,0,0,20
1.3,0,0,-10,0,0,0,0,0,0,0,20
1.35,0,0,-10,0,0,0,0,0,0,0,20
1.4000000000000001,0,0,-10,0,0,0,0,0,0,0,20
1.4500000000000002,0,0,-10,0,0,0,0,0,0,0,20
1.5,0,0,-10,0,0,0,0,0,0,0,20
1.55,0,0,-10,0,0,0,0,0,0,0,20
1.6,0,0,-10,0,0,0,0,0,0,0,20
1.6500000000000001,0,0,-10,0,0,0,0,0,0,0,20
1.7000000000000002,0,0,-10,0,0,0,0,0,0,0,20
1.75,0,0,-10,0,0,0,0,0,0,0,20
1.8,0,0,-10,0,0,0,0,0,0,0,20
1.85,0,0,-10,0,0,0,0,0,0,0,20
1.9000000000000001,0,0,-10,0,0,0,0,0,0,0,20
1.9500000000000002,0,0,-10,0,0,0,0,0,0,0,20
2.0,0,0,-10,0,0,0,0,0,0,0,20
2.0500000000000003,0,0,-10,0,0,0,0,0,0,0,20
2.1,0,0,-10,0,0,0,0,0,0,0,20
2.15,0,0,-10,0,0,0,0,0,0,0,20
2.2,0,0,-10,0,0,0,0,0,0,0,20
2.25,0,0,-10,0,0,0,0,0,0,0,20
2.3000000000000003,0,0,-10,0,0,0,0,0,0,0,20
2.35,0,0,-10,0,0,0,0,0,0,0,20
2.4000000000000004,0,0,-10,0,0,0,0,0,0,0,20
2.45,0,0,-10,0,0,0,0,0,0,0,20
2.5,0,0,-10,0,0,0,0,0,0,0,20
2.5500000000000003,0,0,-10,0,0,0,0,0,0,0,20
2.6,0,0,-10,0,0,0,0,0,0,0,20
2.6500000000000004,0,0,-10,0,0,0,0,0,0,0,20
2.7,0,0,-10,0,0,0,0,0,0,0,20
2.75,0,0,-10,0,0,0,0,0,0,0,20
2.8000000000000003,0,0,-10,0,0,0,0,0,0,0,20
2.85,0,0,-10,0,0,0,0,0,0,0,20
2.9000000000000004,0,0,-10,0,0,0,0,0,0,0,20
2.95,0,0,-10,0,0,0,0,0,0,0,20
3.0,0,0,-10,0,0,0,0,0,0,0,20
3.0500000000000003,0,0,-10,0,0,0,0,0,0,0,20
3.1,0,0,-10,0,0,0,0,0,0,0,20
3.1500000000000004,0,0,-10,0,0,0,0,0,0,0,20
3.2,0,0,-10,0,0,0,0,0,0,0,20
3.25,0,0,-10,0,0,0,0,0,0,0,20
3.3000000000000003,0,0,-10,0,0,0,0,0,0,0,20
3.35,0,0,-10,0,0,0,0,0,0,0,20
3.4000000000000004,0,0,-10,0,0,0,0,0,0,0,20
3.45,0,0,-10,0,0,0,0,0,0,0,20
3.5,0,0,-10,0,0,0,0,0,0,0,20
3.5500000000000003,0,0,-10,0,0,0,0,0,0,0,20
3.6,0,0,-10,0,0,0,0,0,0,0,20
3.6500000000000004,0,0,-10,0,0,0,0,0,0,0,20
3.7,0,0,-10,0,0,0,0,0,0,0,20
3.75,0,0,-10,0,0,0,0,0,0,0,20
3.8000000000000003,0,0,-10,0,0,0,0,0,0,0,20
3.85,0,0,-10,0,0,0,0,0,0,0,20
3.9000000000000004,0,0,-10,0,0,0,0,0,0,0,20
3.95,0,0,-10,0,0,0,0,0,0,0,20
4.0,0,0,-10,0,0,0,0,0,0,0,40
4.05,0,0,-10,0,0,0,0,0,0,0,40
4.1,0,0,-10,0,0,0,0,0,0,0,40
4.15,0,0,-10,0,0,0,0,0,0,0,40
4.2,0,0,-10,0,0,0,0,0,0,0,40
4.25,0,0,-10,0,0,0,0,0,0,0,40
4.3,0,0,-10,0,0,0,0,0,0,0,40
4.35,0,0,-10,0,0,0,0,0,0,0,40
4.4,0,0,-10,0,0,0,0,0,0,0,40
4.45,0,0,-10,0,0,0,0,0,0,0,40
4.5,0,0,-10,0,0,0,0,0,0,0,40
4.55,0,0,-10,0,0,0,0,0,0,0,40
4.6,0,0,-10,0,0,0,0,0,0,0,40
4.65,0,0,-10,0,0,0,0,0,0,0,40
4.7,0,0,-10,0,0,0,0,0,0,0,40
4.75,0,0,-10,0,0,0,0,0,0,0,40
4.8,0,0,-10,0,0,0,0,0,0,0,40
4.85,0,0,-10,0,0,0,0,0,0,0,40
4.9,0,0,-10,0,0,0,0,0,0,0,40
4.95,0,0,-10,0,0,0,0,0,0,0,40
5.0,0,0,-10,0,0,0,0,0,0,0,40
5.05,0,0,-10,0,0,0,0,0,0,0,40
5.1,0,0,-10,0,0,0,0,0,0,0,40
5.15,0,0,-10,0,0,0,0,0,0,0,40
5.2,0,0,-10,0,0,0,0,0,0,0,40
5.25,0,0,-10,0,0,0,0,0,0,0,40
5.3,0,0,-10,0,0,0,0,0,0,0,40
5.35,0,0,-10,0,0,0,0,0,0,0,40
5.4,0,0,-10,0,0,0,0,0,0,0,40
5.45,0,0,-10,0,0,0,0,0,0,0,40
5.5,0,0,-10,0,0,0,0,0,0,0,40
5.55,0,0,-10,0,0,0,0,0,0,0,40
5.6,0,0,-10,0,0,0,0,0,0,0,40
5.65,0,0,-10,0,0,0,0,0,0,0,40
5.7,0,0,-10,0,0,0,0,0,0,0,40
5.75,0,0,-10,0,0,0,0,0,0,0,40
5.8,0,0,-10,0,0,0,0,0,0,0,40
5.85,0,0,-10,0,0,0,0,0,0,0,40
5.9,0,0,-10,0,0,0,0,0,0,0,40
5.95,0,0,-10,0,0,0,0,0,0,0,40
6.0,0,0,-10,0,0,0,0,0,0,0,40
6.050000000000001,0,0,-10,0,0,0,0,0,0,0,40
6.1,0,0,-10,0,0,0,0,0,0,0,40
6.15,0,0,-10,0,0,0,0,0,0,0,40
6.2,0,0,-10,0,0,0,0,0,0,0,40
6.25,0,0,-10,0,0,0,0,0,0,0,40
6.300000000000001,0,0,-10,0,0,0,0,0,0,0,40
6.35,0,0,-10,0,0,0,0,0,0,0,40
6.4,0,0,-10,0,0,0,0,0,0,0,40
6.45,0,0,-10,0,0,0,0,0,0,0,40
6.5,0,0,-10,0,0,0,0,0,0,0,40
6.550000000000001,0,0,-10,0,0,0,0,0,0,0,40
6.6,0,0,-10,0,0,0,0,0,0,0,40
6.65,0,0,-10,0,0,0,0,0,0,0,40
6.7,0,0,-10,0,0,0,0,0,0,0,40
6.75,0,0,-10,0,0,0,0,0,0,0,40
6.800000000000001,0,0,-10,0,0,0,0,0,0,0,40
6.85,0,0,-10,0,0,0,0,0,0,0,40
6.9,0,0,-10,0,0,0,0,0,0,0,40
6.95,0,0,-10,0,0,0,0,0,0,0,40
7.0,0,0,-10,0,0,0,0,0,0,0,40
7.050000000000001,0,0,-10,0,0,0,0,0,0,0,40
7.1,0,0,-10,0,0,0,0,0,0,0,40
7.15,0,0,-10,0,0,0,0,0,0,0,40
7.2,0,0,-10,0,0,0,0,0,0,0,40
7.25,0,0,-10,0,0,0,0,0,0,0,40
7.300000000000001,0,0,-10,0,0,0,0,0,0,0,40
7.35,0,0,-10,0,0,0,0,0,0,0,40
7.4,0,0,-10,0,0,0,0,0,0,0,40
7.45,0,0,-10,0,0,0,0,0,0,0,40
7.5,0,0,-10,0,0,0,0,0,0,0,40
7.550000000000001,0,0,-10,0,0,0,0,0,0,0,40
7.6,0,0,-10,0,0,0,0,0,0,0,40
7.65,0,0,-10,0,0,0,0,0,0,0,40
7.7,0,0,-10,0,0,0,0,0,0,0,40
7.75,0,0,-10,0,0,0,0,0,0,0,40
7.800000000000001,0,0,-10,0,0,0,0,0,0,0,40
7.85,0,0,-10,0,0,0,0,0,0,0,40
7.9,0,0,-10,0,0,0,0,0,0,0,40
7.95,0,0,-10,0,0,0,0,0,0,0,40
8.0,0.0,0.0,-10,-0.0,0.5235987755982988,0,-0.05483113556160755,-0.0,0,0,70
8.05,-6.853876286605498e-05,0.026179819157097897,-10,-0.0027415442512082693,0.5235915982358353,0,-0.05483038394996796,-0.000287093842636241,0,0,70
8.1,-0.0002741531724392843,0.05235892058122896,-10,-0.00548301334159601,0.5235700663452157,0,-0.05482812913565501,-0.0005741798144497617,0,0,70
8.15,-0.0006168375916972835,0.07853658655910338,-10,-0.00822433211240327,0.5235341805167477,0,-0.054824371180485575,-0.0008612500448336246,0,0,70
8.2,-0.001096582625772058,0.10471209941678479,-10,-0.010965425408991172,0.5234839417342595,0,-0.054819110187485906,-0.0011482966636124506,0,0,70
8.25,-0.0017133751222138116,0.13088474153936575,-10,-0.013706218082902342,0.5234193513750725,0,-0.05481234630088874,-0.0014353118012581858,0,0,70
8.3,-0.002467198171341778,0.15705379539064146,-10,-0.016446634993921124,0.5233404112099643,0,-0.05480407970612951,-0.001722287589105847,0,0,70
8.35,-0.0033580311067185065,0.18321854353278139,-10,-0.01918660101213359,0.5232471234031191,0,-0.054794310629841025,-0.0020092161595692457,0,0,70
8.4,-0.00438584950570764,0.20937826864599812,-10,-0.02192604101998726,0.5231394905120694,0,-0.054783039339847496,-0.002296089646356681,0,0,70
8.45,-0.005550625190149816,0.23553225354821328,-10,-0.02466487991435051,0.5230175154876254,0,-0.05477026614515699,-0.0025829001846866,0,0,70
8.5,-0.006852326227130945,0.26167978121471913,-10,-0.027403042608571532,0.5228812016737937,0,-0.05475599139595311,-0.0028696399115032134,0,0,70
